file_name,file_datetime,channel,segments,events,events_per_minute,mean_events_per_segment,max_heatmap,mean_heatmap
Broadband_Data_2026.03.25_17.46.00.bin,2026-03-25T17:46:00,we,30,82,82.0,2.7333333333333334,0.9980352520942688,0.05731606259942055
Broadband_Data_2026.03.25_17.47.00.bin,2026-03-25T17:47:00,ns,30,147,147.0,4.9,0.9974830746650696,0.07493672880033651
Broadband_Data_2026.03.25_17.47.00.bin,2026-03-25T17:47:00,we,30,76,76.0,2.533333333333333,0.9979604482650757,0.05555389188230038
Broadband_Data_2026.03.25_17.48.00.bin,2026-03-25T17:48:00,ns,30,127,127.0,4.233333333333333,0.9989168643951416,0.07677220727006594
Broadband_Data_2026.03.25_17.48.00.bin,2026-03-25T17:48:00,we,30,57,57.0,1.9,0.9977887868881226,0.05394592049221198
Broadband_Data_2026.03.25_17.49.00.bin,2026-03-25T17:49:00,ns,30,136,136.0,4.533333333333333,0.998808741569519,0.07717151331404845
Broadband_Data_2026.03.25_17.49.00.bin,2026-03-25T17:49:00,we,30,64,64.0,2.1333333333333333,0.9976994395256042,0.05113050900399685
Broadband_Data_2026.03.25_17.50.00.bin,2026-03-25T17:50:00,ns,30,130,130.0,4.333333333333333,0.9985122084617615,0.06927898799379667
Broadband_Data_2026.03.25_17.50.00.bin,2026-03-25T17:50:00,we,30,57,57.0,1.9,0.9972147345542908,0.04497123435139656
Broadband_Data_2026.03.25_17.51.00.bin,2026-03-25T17:51:00,ns,30,137,137.0,4.566666666666666,0.9980412721633911,0.0655716153482596
Broadband_Data_2026.03.25_17.51.00.bin,2026-03-25T17:51:00,we,30,59,59.0,1.9666666666666666,0.9972348809242249,0.04106603277226289
Broadband_Data_2026.03.25_17.52.00.bin,2026-03-25T17:52:00,ns,30,127,127.0,4.233333333333333,0.9989474415779114,0.06451742605616649
Broadband_Data_2026.03.25_17.52.00.bin,2026-03-25T17:52:00,we,30,59,59.0,1.9666666666666666,0.9972692131996155,0.041034823780258495
Broadband_Data_2026.03.25_17.53.00.bin,2026-03-25T17:53:00,ns,30,136,136.0,4.533333333333333,0.9986760020256042,0.07290839677055677
Broadband_Data_2026.03.25_17.53.00.bin,2026-03-25T17:53:00,we,30,81,81.0,2.7,0.9975610971450806,0.04940083051721255
Broadband_Data_2026.03.25_17.54.00.bin,2026-03-25T17:54:00,ns,30,135,135.0,4.5,0.99891197681427,0.07308248194555442
Broadband_Data_2026.03.25_17.54.00.bin,2026-03-25T17:54:00,we,30,57,57.0,1.9,0.9973843693733215,0.0436552540709575
Broadband_Data_2026.03.25_17.55.00.bin,2026-03-25T17:55:00,ns,30,155,155.0,5.166666666666667,0.9982275366783142,0.0774810495475928
Broadband_Data_2026.03.25_17.55.00.bin,2026-03-25T17:55:00,we,30,64,64.0,2.1333333333333333,0.998022198677063,0.054562347506483394
Broadband_Data_2026.03.25_17.56.00.bin,2026-03-25T17:56:00,ns,30,209,209.0,6.966666666666667,0.9985663294792175,0.10127558372914791
Broadband_Data_2026.03.25_17.56.00.bin,2026-03-25T17:56:00,we,30,120,120.0,4.0,0.998016357421875,0.07415027879178523
Broadband_Data_2026.03.25_17.57.00.bin,2026-03-25T17:57:00,ns,30,140,140.0,4.666666666666667,0.9992068409919739,0.08109562620520591
Broadband_Data_2026.03.25_17.57.00.bin,2026-03-25T17:57:00,we,30,85,85.0,2.8333333333333335,0.9983634352684021,0.06345961801707745
Broadband_Data_2026.03.25_17.58.00.bin,2026-03-25T17:58:00,ns,30,131,131.0,4.366666666666666,0.9989172220230103,0.07124189088741938
Broadband_Data_2026.03.25_17.58.00.bin,2026-03-25T17:58:00,we,30,65,65.0,2.1666666666666665,0.9980812072753906,0.052590599035223326
Broadband_Data_2026.03.25_17.59.00.bin,2026-03-25T17:59:00,ns,30,128,128.0,4.266666666666667,0.9988403916358948,0.06831626618901888
Broadband_Data_2026.03.25_17.59.00.bin,2026-03-25T17:59:00,we,30,69,69.0,2.3,0.9980477094650269,0.05427986656626065
