channel,segment_index,segment_start_s,segment_end_s,predicted_event_count,max_heatmap,predicted_event_times_inside_s_json
ns,26,52.0,54.0,1,0.6156995892524719,[1.4079999923706055]
ns,27,54.0,56.0,3,0.9717278480529785,"[0.41600000858306885, 0.9800000190734863, 1.0759999752044678]"
ns,28,56.0,58.0,2,0.9808623194694519,"[0.20200000703334808, 1.8680000305175781]"
ns,29,58.0,60.0,2,0.9940105080604553,"[0.5619999766349792, 1.2000000476837158]"
we,0,0.0,2.0,8,0.9958874583244324,"[0.2680000066757202, 0.3720000088214874, 0.5759999752044678, 0.7519999742507935, 0.8140000104904175, 1.0, 1.2480000257492065, 1.909999966621399]"
we,1,2.0,4.0,12,0.9956592917442322,"[0.12800000607967377, 0.6060000061988831, 0.6480000019073486, 0.9120000004768372, 1.0, 1.0920000076293945, 1.159999966621399, 1.3200000524520874, 1.6519999504089355, 1.7039999961853027, 1.8860000371932983, 1.9220000505447388]"
we,2,4.0,6.0,11,0.9962766766548157,"[0.5920000076293945, 0.6499999761581421, 0.7279999852180481, 0.8019999861717224, 0.8479999899864197, 0.9660000205039978, 1.0, 1.503999948501587, 1.7979999780654907, 1.8960000276565552, 1.9320000410079956]"
we,3,6.0,8.0,8,0.9962524771690369,"[0.052000001072883606, 0.11999999731779099, 0.21400000154972076, 0.5979999899864197, 0.7459999918937683, 1.0, 1.253999948501587, 1.434000015258789]"
we,4,8.0,10.0,7,0.9962253570556641,"[0.3019999861717224, 0.47200000286102295, 0.734000027179718, 1.0, 1.121999979019165, 1.2640000581741333, 1.4759999513626099]"
we,5,10.0,12.0,9,0.9961633682250977,"[0.052000001072883606, 0.10400000214576721, 0.878000020980835, 1.0, 1.1859999895095825, 1.3339999914169312, 1.6540000438690186, 1.75600004196167, 1.9079999923706055]"
we,6,12.0,14.0,5,0.9962334036827087,"[0.7940000295639038, 1.0, 1.2860000133514404, 1.8040000200271606, 1.8459999561309814]"
we,7,14.0,16.0,10,0.9961996674537659,"[0.17800000309944153, 0.9100000262260437, 1.0, 1.3240000009536743, 1.409999966621399, 1.5240000486373901, 1.6440000534057617, 1.684000015258789, 1.8279999494552612, 1.9800000190734863]"
we,8,16.0,18.0,13,0.9964978694915771,"[0.10199999809265137, 0.4560000002384186, 0.5600000023841858, 0.8240000009536743, 0.8999999761581421, 0.9639999866485596, 1.0, 1.222000002861023, 1.4359999895095825, 1.49399995803833, 1.5399999618530273, 1.7139999866485596, 1.7480000257492065]"
we,9,18.0,20.0,8,0.9964540004730225,"[0.026000000536441803, 0.13199999928474426, 0.33799999952316284, 0.49399998784065247, 0.9039999842643738, 1.0, 1.1799999475479126, 1.899999976158142]"
we,10,20.0,22.0,6,0.9963346719741821,"[0.12600000202655792, 1.0, 1.0740000009536743, 1.1740000247955322, 1.4980000257492065, 1.590000033378601]"
we,11,22.0,24.0,14,0.9962998032569885,"[0.2160000056028366, 0.257999986410141, 0.5400000214576721, 0.7080000042915344, 0.8299999833106995, 0.8999999761581421, 1.0, 1.093999981880188, 1.305999994277954, 1.5099999904632568, 1.8639999628067017, 1.8960000276565552, 1.944000005722046, 1.9800000190734863]"
